Date,Year,Month,Day,Hour,PPT(mm),T(C),Ref z
2017-04-22 21:00:00,2017,4,22,21,0.9940198930593058,-5.579822440848318,4047.1531549675274
2017-04-22 22:00:00,2017,4,22,22,1.0000704489301002,-5.593914960192649,4047.1531549675274
2017-04-22 23:00:00,2017,4,22,23,1.0104428304228938,-5.142212629630421,4047.1531549675274
2017-04-23 00:00:00,2017,4,23,0,1.0104428304228938,-5.439638958949729,4047.1531549675274
2017-04-23 01:00:00,2017,4,23,1,0.0,-5.659185576103084,4047.1531549675274
2017-04-23 02:00:00,2017,4,23,2,0.0,-4.98867833993188,4047.1531549675274
2017-04-23 03:00:00,2017,4,23,3,0.0,-3.201153517838293,4047.1531549675274
2017-04-23 04:00:00,2017,4,23,4,0.0008643651243991912,-2.0210904506387237,4047.1531549675274
2017-04-23 05:00:00,2017,4,23,5,0.0008643651243991912,-1.4351383305333911,4047.1531549675274
2017-04-23 06:00:00,2017,4,23,6,0.0017287302487983824,-1.450714272966536,4047.1531549675274
2017-04-23 07:00:00,2017,4,23,7,0.061369923832356454,-1.3268484450455276,4047.1531549675274
2017-04-23 08:00:00,2017,4,23,8,0.25585207682222305,-1.966203796350385,4047.1531549675274
2017-04-23 09:00:00,2017,4,23,9,0.36821954299414217,-2.2117103175590955,4047.1531549675274
2017-04-23 10:00:00,2017,4,23,10,0.41748835508491,-2.166465913348418,4047.1531549675274
2017-04-23 11:00:00,2017,4,23,11,0.43736875294609484,-2.2354450869810876,4047.1531549675274
2017-04-23 12:00:00,2017,4,23,12,0.4658928020512751,-2.8807341306414287,4047.1531549675274
2017-04-23 13:00:00,2017,4,23,13,0.4805870091660648,-3.996268293474941,4047.1531549675274
2017-04-23 14:00:00,2017,4,23,14,0.4849088347880608,-5.395136266283487,4047.1531549675274
2017-04-23 15:00:00,2017,4,23,15,0.48577319991245993,-6.515862409928047,4047.1531549675274
2017-04-23 16:00:00,2017,4,23,16,0.48577319991245993,-7.029868510223025,4047.1531549675274
2017-04-23 17:00:00,2017,4,23,17,0.48577319991245993,-8.05194701845744,4047.1531549675274
2017-04-23 18:00:00,2017,4,23,18,0.48577319991245993,-9.071800392058549,4047.1531549675274
2017-04-23 19:00:00,2017,4,23,19,0.48577319991245993,-9.174156585190872,4047.1531549675274
2017-04-23 20:00:00,2017,4,23,20,0.48577319991245993,-9.076992372869597,4047.1531549675274
2017-04-23 21:00:00,2017,4,23,21,0.48577319991245993,-9.131879027157993,4047.1531549675274
2017-04-23 22:00:00,2017,4,23,22,0.48836629528565756,-8.232924635300094,4047.1531549675274
2017-04-23 23:00:00,2017,4,23,23,0.4900950255344594,-7.8947041710367785,4047.1531549675274
2017-04-24 00:00:00,2017,4,24,0,0.49182375578325777,-7.3206194356424135,4047.1531549675274
2017-04-24 01:00:00,2017,4,24,1,0.0008643651243991912,-6.494352775139362,4047.1531549675274
2017-04-24 02:00:00,2017,4,24,2,0.0017287302487983824,-5.337282765817349,4047.1531549675274
2017-04-24 03:00:00,2017,4,24,3,0.05186190746396535,-4.202464102828515,4047.1531549675274
2017-04-24 04:00:00,2017,4,24,4,0.25671644194662224,-3.839025446054279,4047.1531549675274
2017-04-24 05:00:00,2017,4,24,5,0.8427559962894127,-3.332436461203656,4047.1531549675274
2017-04-24 06:00:00,2017,4,24,6,1.7719485050187618,-3.365813480703366,4047.1531549675274
2017-04-24 07:00:00,2017,4,24,7,2.1617771761228908,-3.6024194633787943,4047.1531549675274
2017-04-24 08:00:00,2017,4,24,8,2.4029350458303207,-3.4644611161135117,4047.1531549675274
2017-04-24 09:00:00,2017,4,24,9,2.791034986685651,-3.543824251368278,4047.1531549675274
2017-04-24 10:00:00,2017,4,24,10,3.0589881752494628,-3.266424133748785,4047.1531549675274
2017-04-24 11:00:00,2017,4,24,11,3.4375800997363988,-3.7544703299884077,4047.1531549675274
2017-04-24 12:00:00,2017,4,24,12,3.492899467697961,-4.067472601740917,4047.1531549675274
2017-04-24 13:00:00,2017,4,24,13,3.498950023568755,-5.238635130407204,4047.1531549675274
2017-04-24 14:00:00,2017,4,24,14,3.505000579439553,-6.665688141904354,4047.1531549675274
2017-04-24 15:00:00,2017,4,24,15,3.5075936748127505,-7.415558513330325,4047.1531549675274
2017-04-24 16:00:00,2017,4,24,16,3.5084580399371497,-8.25591769317765,4047.1531549675274
2017-04-24 17:00:00,2017,4,24,17,3.5084580399371497,-9.634759454286382,4047.1531549675274
2017-04-24 18:00:00,2017,4,24,18,3.5084580399371497,-9.970754783916448,4047.1531549675274
2017-04-24 19:00:00,2017,4,24,19,3.5084580399371497,-10.064952150059923,4047.1531549675274
2017-04-24 20:00:00,2017,4,24,20,3.5084580399371497,-9.397411760066461,4047.1531549675274
2017-04-24 21:00:00,2017,4,24,21,3.5084580399371497,-9.050290757269863,4047.1531549675274
2017-04-24 22:00:00,2017,4,24,22,3.5084580399371497,-8.614906080685273,4047.1531549675274
2017-04-24 23:00:00,2017,4,24,23,3.5084580399371497,-8.3441813669657,4047.1531549675274
2017-04-25 00:00:00,2017,4,25,0,3.5084580399371497,-8.468788906431143,4047.1531549675274
2017-04-25 01:00:00,2017,4,25,1,0.0,-8.189163654178344,4047.1531549675274
2017-04-25 02:00:00,2017,4,25,2,0.0,-6.513637275294741,4047.1531549675274
2017-04-25 03:00:00,2017,4,25,3,0.0,-4.648232741035258,4047.1531549675274
2017-04-25 04:00:00,2017,4,25,4,0.0,-3.942865062275473,4047.1531549675274
2017-04-25 05:00:00,2017,4,25,5,0.0,-3.867210484742884,4047.1531549675274
2017-04-25 06:00:00,2017,4,25,6,0.0008643651243991912,-3.4800370585466567,4047.1531549675274
2017-04-25 07:00:00,2017,4,25,7,0.31030707965938253,-4.6185642792577255,4047.1531549675274
2017-04-25 08:00:00,2017,4,25,8,0.8289261542990222,-4.368607488782402,4047.1531549675274
2017-04-25 09:00:00,2017,4,25,9,1.6509373876028473,-4.5035989898699995,4047.1531549675274
2017-04-25 10:00:00,2017,4,25,10,2.0978141569173334,-4.7431718187231695,4047.1531549675274
2017-04-25 11:00:00,2017,4,25,11,2.5083875910070463,-5.0776837252643645,4047.1531549675274
2017-04-25 12:00:00,2017,4,25,12,2.6803962507625267,-5.695529441780536,4047.1531549675274
2017-04-25 13:00:00,2017,4,25,13,2.955264360321536,-6.631569410860266,4047.1531549675274
2017-04-25 14:00:00,2017,4,25,14,3.124679924703819,-7.970358748569367,4047.1531549675274
2017-04-25 15:00:00,2017,4,25,15,3.2819943773445064,-8.893789621393637,4047.1531549675274
2017-04-25 16:00:00,2017,4,25,16,3.3217551730668795,-9.491609126209994,4047.1531549675274
2017-04-25 17:00:00,2017,4,25,17,3.327805728937674,-10.362378479379231,4047.1531549675274
2017-04-25 18:00:00,2017,4,25,18,3.3286700940620766,-11.234631255637396,4047.1531549675274
2017-04-25 19:00:00,2017,4,25,19,3.3381781104304675,-10.412814864400957,4047.1531549675274
2017-04-25 20:00:00,2017,4,25,20,3.3433643011768663,-10.21477788203623,4047.1531549675274
2017-04-25 21:00:00,2017,4,25,21,3.3459573965500637,-9.4293053564773,4047.1531549675274
2017-04-25 22:00:00,2017,4,25,22,3.348550491923261,-9.790518878618172,4047.1531549675274
2017-04-25 23:00:00,2017,4,25,23,3.352007952420858,-9.571713973009196,4047.1531549675274
2017-04-26 00:00:00,2017,4,26,0,3.356329778042854,-9.542787222776155,4047.1531549675274
2017-04-26 01:00:00,2017,4,26,1,0.0025930953731975737,-9.3462336635003,4047.1531549675274
2017-04-26 02:00:00,2017,4,26,2,0.004321825621995956,-7.8932207479479075,4047.1531549675274
2017-04-26 03:00:00,2017,4,26,3,0.005186190746395147,-6.204343561264409,4047.1531549675274
2017-04-26 04:00:00,2017,4,26,4,0.010372381492793764,-5.519002094204495,4047.1531549675274
2017-04-26 05:00:00,2017,4,26,5,0.025930953731982676,-5.132570379552703,4047.1531549675274
2017-04-26 06:00:00,2017,4,26,6,0.07260667044954941,-4.9768109552209125,4047.1531549675274
2017-04-26 07:00:00,2017,4,26,7,0.1305191337843091,-4.844786300311114,4047.1531549675274
2017-04-26 08:00:00,2017,4,26,8,0.29993469816659224,-5.032439321053687,4047.1531549675274
2017-04-26 09:00:00,2017,4,26,9,0.48404446966366155,-5.4388972474052935,4047.1531549675274
2017-04-26 10:00:00,2017,4,26,10,0.6041912219551769,-5.4515063436606965,4047.1531549675274
2017-04-26 11:00:00,2017,4,26,11,0.8341123450454173,-5.639901075947762,4047.1531549675274
2017-04-26 12:00:00,2017,4,26,12,0.9214132226097564,-5.90543380885623,4047.1531549675274
2017-04-26 13:00:00,2017,4,26,13,0.9603096532077304,-6.730217046270411,4047.1531549675274
2017-04-26 14:00:00,2017,4,26,14,0.9862406069397096,-8.085324037957093,4047.1531549675274
2017-04-26 15:00:00,2017,4,26,15,1.0026635443033012,-8.985020141359428,4047.1531549675274
2017-04-26 16:00:00,2017,4,26,16,1.006121004800898,-9.574680819186995,4047.1531549675274
2017-04-26 17:00:00,2017,4,26,17,1.0113071955472932,-9.990780995616205,4047.1531549675274
2017-04-26 18:00:00,2017,4,26,18,1.0260014026620827,-10.579699961899337,4047.1531549675274
2017-04-26 19:00:00,2017,4,26,19,1.0398312446524733,-10.576733115721595,4047.1531549675274
2017-04-26 20:00:00,2017,4,26,20,1.0605760076380608,-10.2837570556689,4047.1531549675274
2017-04-26 21:00:00,2017,4,26,21,1.1599779969439887,-10.2837570556689,4047.1531549675274
2017-04-26 22:00:00,2017,4,26,22,1.2628374467475167,-9.655527377530632,4047.1531549675274
2017-04-26 23:00:00,2017,4,26,23,1.3423590381922632,-9.570230549920325,4047.1531549675274
2017-04-27 00:00:00,2017,4,27,0,1.3873060246610316,-9.453781837443728,4047.1531549675274
2017-04-27 01:00:00,2017,4,27,1,0.010372381492793764,-8.653475080995975,4047.1531549675274
2017-04-27 02:00:00,2017,4,27,2,0.012965476865991338,-7.7574875353158745,4047.1531549675274
2017-04-27 03:00:00,2017,4,27,3,0.013829841990390529,-6.625635718504725,4047.1531549675274
2017-04-27 04:00:00,2017,4,27,4,0.01469420711478972,-5.547928844437536,4047.1531549675274
2017-04-27 05:00:00,2017,4,27,5,0.015558572239188911,-5.112544167852889,4047.1531549675274
2017-04-27 06:00:00,2017,4,27,6,0.15904318288948935,-5.09919336005305,4047.1531549675274
2017-04-27 07:00:00,2017,4,27,7,0.4909593906588586,-5.110319033219582,4047.1531549675274
2017-04-27 08:00:00,2017,4,27,8,0.9862406069397096,-5.329123938828559,4047.1531549675274
2017-04-27 09:00:00,2017,4,27,9,1.7468819164111784,-5.324673669561946,4047.1531549675274
2017-04-27 10:00:00,2017,4,27,10,1.9543295462670363,-5.412195631805503,4047.1531549675274
2017-04-27 11:00:00,2017,4,27,11,2.0278005818409848,-5.183006764574429,4047.1531549675274
2017-04-27 12:00:00,2017,4,27,12,2.253399879309226,-6.0522926946547955,4047.1531549675274
2017-04-27 13:00:00,2017,4,27,13,2.353666233739556,-6.887459893691073,4047.1531549675274
2017-04-27 14:00:00,2017,4,27,14,2.3908339340887284,-8.126859884445594,4047.1531549675274
2017-04-27 15:00:00,2017,4,27,15,2.411578697074316,-9.161547488935469,4047.1531549675274
2017-04-27 16:00:00,2017,4,27,16,2.4167648878207113,-10.353477940846005,4047.1531549675274
2017-04-27 17:00:00,2017,4,27,17,2.4167648878207113,-10.894185656740717,4047.1531549675274
2017-04-27 18:00:00,2017,4,27,18,2.4167648878207113,-11.239081524904009,4047.1531549675274
2017-04-27 19:00:00,2017,4,27,19,2.4167648878207113,-10.59675932742141,4047.1531549675274
2017-04-27 20:00:00,2017,4,27,20,2.4176292529451104,-10.805180271408233,4047.1531549675274
2017-04-27 21:00:00,2017,4,27,21,2.4176292529451104,-10.467701518689353,4047.1531549675274
2017-04-27 22:00:00,2017,4,27,22,2.4176292529451104,-9.85504778298423,4047.1531549675274
2017-04-27 23:00:00,2017,4,27,23,2.4176292529451104,-9.199374777701735,4047.1531549675274
2017-04-28 00:00:00,2017,4,28,0,2.4176292529451104,-8.755089562583862,4047.1531549675274
2017-04-28 01:00:00,2017,4,28,1,0.0,-8.351598482410054,4047.1531549675274
2017-04-28 02:00:00,2017,4,28,2,0.0,-7.182661088377074,4047.1531549675274
2017-04-28 03:00:00,2017,4,28,3,0.0,-5.895791558778569,4047.1531549675274
2017-04-28 04:00:00,2017,4,28,4,0.0,-4.475413951181395,4047.1531549675274
2017-04-28 05:00:00,2017,4,28,5,0.0,-3.5638504630680927,4047.1531549675274
2017-04-28 06:00:00,2017,4,28,6,0.0,-3.241205941237922,4047.1531549675274
2017-04-28 07:00:00,2017,4,28,7,0.0025930953731975737,-3.6958751179778915,4047.1531549675274
2017-04-28 08:00:00,2017,4,28,8,0.02160912810998672,-3.8123238304545453,4047.1531549675274
2017-04-28 09:00:00,2017,4,28,9,0.10199508467912885,-4.671225798912815,4047.1531549675274
2017-04-28 10:00:00,2017,4,28,10,0.1650937387602837,-4.304078584416402,4047.1531549675274
2017-04-28 11:00:00,2017,4,28,11,0.24115786970743333,-4.543651413269572,4047.1531549675274
2017-04-28 12:00:00,2017,4,28,12,0.27486810955900876,-5.0272473402426385,4047.1531549675274
2017-04-28 13:00:00,2017,4,28,13,0.29042668179819764,-6.238462292308554,4047.1531549675274
2017-04-28 14:00:00,2017,4,28,14,0.3007990632909914,-7.738203035160495,4047.1531549675274
2017-04-28 15:00:00,2017,4,28,15,0.30252779353978976,-8.61713121531858,4047.1531549675274
2017-04-28 16:00:00,2017,4,28,16,0.30252779353978976,-9.10072714229159,4047.1531549675274
2017-04-28 17:00:00,2017,4,28,17,0.303392158664189,-9.301730970834114,4047.1531549675274
2017-04-28 18:00:00,2017,4,28,18,0.303392158664189,-10.345319113857215,4047.1531549675274
2017-04-28 19:00:00,2017,4,28,19,0.30425652378858814,-10.658321385609668,4047.1531549675274
2017-04-28 20:00:00,2017,4,28,20,0.3051208889129874,-10.788120905886217,4047.1531549675274
2017-04-28 21:00:00,2017,4,28,21,0.3051208889129874,-10.297107863468796,4047.1531549675274
2017-04-28 22:00:00,2017,4,28,22,0.3051208889129874,-9.908451014183697,4047.1531549675274
2017-04-28 23:00:00,2017,4,28,23,0.3051208889129874,-9.874332283139609,4047.1531549675274
2017-04-29 00:00:00,2017,4,29,0,0.3051208889129874,-9.951470283761068,4047.1531549675274
2017-04-29 01:00:00,2017,4,29,1,0.0,-9.487900568487817,4047.1531549675274
2017-04-29 02:00:00,2017,4,29,2,0.0,-7.4689617445298495,4047.1531549675274
2017-04-29 03:00:00,2017,4,29,3,0.0,-5.5271609211932855,4047.1531549675274
2017-04-29 04:00:00,2017,4,29,4,0.0,-4.409401623726467,4047.1531549675274
2017-04-29 05:00:00,2017,4,29,5,0.0008643651243991912,-4.053380082396643,4047.1531549675274
2017-04-29 06:00:00,2017,4,29,6,0.013829841990390529,-3.5267648858462053,4047.1531549675274
2017-04-29 07:00:00,2017,4,29,7,0.21004072522905204,-3.4970964240687294,4047.1531549675274
2017-04-29 08:00:00,2017,4,29,8,0.7234736091222965,-3.9436067738199085,4047.1531549675274
2017-04-29 09:00:00,2017,4,29,9,1.3293935613262717,-4.020003062896933,4047.1531549675274
2017-04-29 10:00:00,2017,4,29,10,1.6984774694448133,-4.0429961207744896,4047.1531549675274
2017-04-29 11:00:00,2017,4,29,11,1.9923616117406076,-4.627464817791008,4047.1531549675274
2017-04-29 12:00:00,2017,4,29,12,2.4556613184186853,-5.361017535239341,4047.1531549675274
2017-04-29 13:00:00,2017,4,29,13,3.1601188948041923,-6.323759119918805,4047.1531549675274
2017-04-29 14:00:00,2017,4,29,14,3.834323691835721,-7.727077361993963,4047.1531549675274
2017-04-29 15:00:00,2017,4,29,15,4.780803503053061,-8.39387604044299,4047.1531549675274
