8.3.1	2017	168	22	4380	33	33	82.45553258				
8.3.1	2017	199	31	4380	33	36	219.1900135				
8.3.1	2017	218	19	4378	33	19.5	150.4733526				
8.3.1	2017	231	13	4380	33	14.7	104.4786582				
8.3.1	2017	248	17	4377	33	19.8	101.3033557				
8.3.2	2017	261	13	4377	23	13	65.78490767				
8.3.2	2017	279	18	4378	23	16	84.49817936				
8.4.2	2017	199	33	4378	24.5	55	231.6830114				
8.4.2	2017	218	19	4376	24.5	31.5	150.6111575				
8.4.2	2017	231	13	4378	24.5	20.5	104.5800314				
8.4.2	2017	248	17	4375	24.5	22.7	101.4424498				
8.4.2	2017	261	13	4378	24.5	6.3	65.72414324				
8.4.2	2017	279	18	4375	24.5	19.5	84.76190444				
8.5.2	2017	199	33	4364	4	68	233.6195276				
8.5.2	2017	218	19	4364	4	35.5	151.437987				
8.5.2	2017	231	13	4364	4	28.5	105.2896436				
8.5.2	2017	248	17	4364	4	25	102.2074675				
8.5.2	2017	261	13	4363	4	8	66.63626503				
8.5.2	2017	279	18	4364	4	16.5	85.72889638				
10.1.1	2017	183	15	4563	6	30	85.21224122				
10.1.1	2017	198	15	4564	6	36	104.3253381				
10.1.1	2017	217	19	4565	6	30	135.1893635				
10.1.1	2017	230	13	4564	6	20	97.33028199				
10.1.1	2017	247	17	4563	6	22	90.25342994				
10.1.1	2017	261	14	4563	6	13	58.80710018				
10.1.1	2017	279	18	4563	6	17	68.59698257				
10.2.3	2017	217	19	4620	3.5	64	131.4240726				
10.2.3	2017	230	13	4618	3.5	46	94.60422851				
10.2.3	2017	247	17	4617	3.5	41	86.62204917				
10.2.3	2017	261	14	4616	3.5	24	55.39378736				
10.2.3	2017	279	18	4616	3.5	22	64.2366123				
10.2.4	2017	296	19	4616	4	9	31.76738593				
10.3.3	2017	183	15	4560	6	64	85.41249731				
10.3.3	2017	198	15	4560	6	64	104.5635917				
10.3.4	2017	230	13	4558	4	63	97.63317682				
10.3.4	2017	247	17	4559	4	57	90.52265539				
10.3.4	2017	261	14	4558	4	61	59.1311024				
10.3.5	2017	296	19	4557	1.5	31	35.07286622				
10.5.2	2017	230	13	4562	4	60.5	97.43124693				
10.5.2	2017	247	17	4562	4	45.5	90.3207363				
10.5.2	2017	261	14	4561	4	31	58.93670107				
10.5.2	2017	279	18	4561	4	32.5	68.76462699				
10.5.3	2017	296	19	4561	3	45	34.84612589				
10.6.2	2017	183	15	4547	4	56	86.2802737				
10.6.2	2017	198	15	4547	4	59	105.3379159				
10.6.3	2017	230	13	4546	2	48	98.23896648				
10.6.3	2017	247	17	4545	2	35	91.4649445				
10.6.3	2017	261	14	4545	2	27	59.97841178				
10.6.3	2017	279	18	4545	2	25	70.11906512				
10.6.4	2017	296	19	4545	4	18.5	35.7576924				
12.5.0	2017	296	18	4609	5	19.5	28.52244311				
13.1.0	2017	168	23	4338	42	8	85.45366585				
13.1.1	2017	216	17	4336	53	22	135.3240619				
13.1.1	2017	231	15	4336	53	17	124.7520619				
13.2.1	2017	216	17	4326	28.5	23.5	135.9379383				
13.2.1	2017	231	15	4325	28.5	15	125.3922773				
13.2.1	2017	246	15	4326	28.5	9	94.24728896				
13.2.1	2017	262	16	4325	28.5	4	85.76728807				
13.2.1	2017	274	12	4325	28.5	4	56.37937117				
13.3.1	2017	216	17	4339	41	17.5	135.139899				
13.3.1	2017	231	15	4339	41	15.5	124.5774577				
13.3.1	2017	246	15	4339	41	12.5	93.48273691				
13.3.1	2017	262	16	4339	41	9.5	84.6936398				
13.3.1	2017	274	12	4339	41	6	55.60955909				
13.4.1	2017	216	17	4364	23	24	133.6052079				
13.4.1	2017	231	15	4364	23	18	123.1224227				
13.4.1	2017	246	15	4364	23	16	92.01716744				
13.4.1	2017	262	16	4364	23	11	82.77641074				
13.4.1	2017	274	12	4364	23	9	54.23894607				
13.5.1	2017	216	17	4367	28	21.5	133.421045				
13.5.1	2017	231	15	4367	28	25.5	122.9478185				
13.5.1	2017	246	15	4367	28	11	91.84137021				
13.5.1	2017	262	16	4367	28	11	82.54643088				
13.5.1	2017	274	12	4367	28	12	54.07464168				
14.2.0	2017	296	17	4424	12	6	33.46770123				
