Date,"30.8,79.3","30.8,79.4","30.8,79.5","30.7,79.3","30.7,79.4","30.7,79.5","30.6,79.3","30.6,79.4","30.6,79.5"
2017-07-27 20:00:00,0.5794275335242673,2.531497594313464,4.692568732275049,2.9244196193973835,3.990325112976109,6.66832558181045,7.497363187927249,8.12993978150206,10.215770531681528
2017-07-27 21:00:00,0.342559646062341,2.252829491417117,4.562988064428225,2.7878722489781467,3.7938641004341775,6.576365107854656,7.324588964131465,8.003145794684201,10.127990079269182
2017-07-27 22:00:00,0.33977296503337584,2.229142702670913,4.466847568928927,2.7168118827395915,3.717230372137635,6.430064353834041,7.203368339371536,7.809471463171178,10.070863118175453
2017-07-27 23:00:00,0.6365544946179966,2.585837874378285,4.673061965072293,2.9104862142526144,3.9777850483457655,6.56243170270983,7.242381873777049,7.927905406902141,9.935709088270698
2017-07-28 00:00:00,0.7522017573199946,2.7600054386885517,4.830509443208712,2.9676131753463437,4.0934323110477635,6.692012370556654,7.182468231654298,7.968312281822136,10.070863118175453
2017-07-28 01:00:00,0.9416960672895698,3.051213606215242,5.208104722633379,3.0163800933532343,4.253666470213204,7.107227843872295,7.316228921044569,8.161986613335102,10.46657182428828
2017-07-28 02:00:00,1.4767388248506563,3.575109639660468,5.733394096593031,3.520769359595704,4.684208689188154,7.586536980854078,7.865205083750482,8.65104913391832,11.383389882817426
2017-07-28 03:00:00,2.1246421640847757,4.227193000438035,6.423097651261628,4.089252289504316,5.294491834531243,8.32082743198606,8.24140702266061,9.27247900337727,11.751231778640658
2017-07-28 04:00:00,2.0243216470420293,4.356773668284859,6.7853661850269305,4.306613409763543,5.453332653182201,8.738829586330667,8.840543443887839,9.496806826208854,12.234720937165946
2017-07-28 05:00:00,2.063335181447542,4.550447999797882,7.169928167023954,4.4570941853275485,5.662333730354476,9.244612193087619,9.396486309166164,9.992836049364428,12.537075828808497
2017-07-28 06:00:00,1.8334339965580284,4.288499983075269,7.155994761879128,4.340053582111068,5.460299355754614,9.162405102733203,9.349112731673756,9.886942170263808,12.726570138778072
2017-07-28 07:00:00,2.640178154443106,5.2499049380678,7.53916340336167,4.969843494656914,6.028782285663226,9.188878572508315,9.576227235534304,10.029062902740975,12.546829212409875
2017-07-28 08:00:00,2.5259242322555906,5.0144303911203565,7.600470385998904,5.116144248677529,5.9591152599391535,9.243218852573136,9.863255381517604,10.129383419783665,12.654116432024978
2017-07-28 09:00:00,2.6415714949575886,5.091064119416842,7.487609804325871,5.203924701089932,6.000915475373574,9.23485880948624,9.963575898560293,10.214377191167046,12.743290224951863
2017-07-28 10:00:00,2.4883040383645607,4.887636404302498,7.2200884255453275,5.089670778902359,5.988375410743231,9.184698550964868,9.753181480873536,10.317484389238757,12.622069600191935
2017-07-28 11:00:00,2.819919080811246,5.149584421025111,7.249348576349462,5.142617718452698,6.0914826088149425,9.126178249356656,9.59573400273706,10.165610273160212,12.5928094493878
2017-07-28 12:00:00,2.375443456691528,4.539301275682021,6.712912478273893,4.7399423097674,5.771014290484061,8.759729694047905,9.420173097912368,10.042996307885801,12.459048759997529
2017-07-28 13:00:00,2.028501668585477,4.160312655742928,6.41334426766025,4.398573883719337,5.485379485015244,8.442048056745989,9.121998227813208,9.811701782481805,12.17202061401423
2017-07-28 14:00:00,1.3666649242065887,3.5319160837115646,5.816994527461986,3.8008308030065905,4.900176468932841,7.827584889859452,8.49638833681081,9.211172020740037,11.582637576388379
2017-07-28 15:00:00,1.1019302264550106,3.244887937728265,5.534146403022135,3.405122096893706,4.500287741276509,7.409582735514846,8.000359113655236,8.655229155461768,10.980714474132128
2017-07-28 16:00:00,1.0475899463901897,3.0762937354759288,5.379485605914624,3.09858718370765,4.2021128711773486,7.162961464451541,7.512689933586557,8.163379953849585,10.502798677664828
2017-07-28 17:00:00,0.7731018650372334,2.8227057618402114,5.109177546105116,2.8463925505864154,3.9680316647443874,6.89126006412755,7.229841809146706,7.895858575069099,9.971935941647189
2017-07-28 18:00:00,0.7410550332041339,2.755825417145104,5.024183774721735,3.001053347693926,4.129659164424311,6.938633641619958,7.50850991204311,8.142479846132403,10.272897492775314
2017-07-28 19:00:00,1.2078241055556305,3.3159483039668203,5.594060045144886,3.3382417521985417,4.568561426486156,7.479249761238975,7.774637950309113,8.549335276361091,11.065708245515566
2017-07-28 20:00:00,1.145123782403914,3.211447765380683,5.460299355754614,3.3215216660247506,4.525367870537195,7.417942778601741,7.845698316547725,8.589742151281087,11.069888267059014
2017-07-28 21:00:00,1.029476519701916,3.0971938431931676,5.376698924885659,3.398155394321293,4.583888172145407,7.412369416543811,7.8791384888953075,8.736042905301701,10.98210781464661
2017-07-28 22:00:00,1.005789730955712,3.09301382164972,5.411532437747724,3.4315955666688183,4.593641555746785,7.385895946768699,7.934872109474554,8.623182323628669,10.64770609117096
2017-07-28 23:00:00,1.100536885940528,3.211447765380683,5.4087457567187585,3.5597828940011595,4.7427289907963655,7.454169631978289,7.849878338091173,8.800136568967844,10.959814366414946
2017-07-29 00:00:00,1.1047169074839758,3.2476746187572303,5.357192157682903,3.636416622297702,4.843049507839055,7.472283058666562,8.195426785682685,8.949224004017424,11.192502232333425
2017-07-29 01:00:00,1.1966773814397698,3.4106954589516363,5.535539743536617,3.660103411043906,4.908536512019737,7.65063064452022,8.288780600152961,9.023071051285001,11.437730162882247
2017-07-29 02:00:00,1.787453759580103,3.917871406223071,6.080335884699082,3.9805717293747307,5.242938235495387,8.161986613335102,8.61342894002729,9.31845924035514,12.036866584109475
2017-07-29 03:00:00,2.0981686943096065,4.231373021981483,6.409164246116802,4.217439616836657,5.438005907522893,8.428114651601163,8.76251637507687,9.449433248716446,11.942119429124716
2017-07-29 04:00:00,2.038255052186855,4.406933926806232,6.792332887599343,4.241126405582861,5.467266058327027,8.703996073468602,8.790383185366522,9.46754667540472,12.180380657101125
2017-07-29 05:00:00,2.056368478875129,4.47938763355927,7.0347741371192,4.294073345133199,5.497919549645587,8.92553721527122,8.828003379257495,9.694661179265267,12.422821906620982
2017-07-29 06:00:00,2.2848763232501597,4.774775822629465,7.306475537443191,4.472420930986857,5.645613644180685,9.08577137443666,8.950617344531906,9.831208549684504,12.58166272527194
2017-07-29 07:00:00,2.113495439968915,4.745515671825331,7.39007596831209,4.5044677628199565,5.766834268940613,9.169371805305616,8.879556978293351,9.927349045183803,12.626249621735383
2017-07-29 08:00:00,2.3224965171411895,5.1537644425685585,7.940445471532485,4.827722762179803,6.1430362078507414,9.711381265439059,9.580407257077752,10.27568417380428,12.982944793442755
2017-07-29 09:00:00,2.420030353154914,5.093850800445807,7.91118532072835,5.065983990156212,6.176476380198324,9.781048291163188,9.835388571227952,10.385758074448347,12.906311065146213
2017-07-29 10:00:00,2.5816578528348373,5.31957196379193,7.9237253853586935,5.351618795624972,6.494158017500183,9.938495769299664,10.263144109173936,10.989074517219024,13.651748240394113
2017-07-29 11:00:00,2.3601167110322194,4.993530283403118,7.385895946768699,4.9461567059107665,6.077549203670117,9.354686093731686,9.601307364794991,10.316091048724275,12.931391194406899
2017-07-29 12:00:00,2.408883629039053,4.902963149961806,7.179681550625332,4.799855951890152,5.943788514279845,9.116424865755278,9.38394624453582,10.06946977766097,12.61928291916297
2017-07-29 13:00:00,1.9449012377165786,4.252273129698722,6.616771982774651,4.062778819729147,5.209498063147862,8.400247841311568,8.414181246456337,9.101098120095969,11.715004925264168
2017-07-29 14:00:00,1.4934589110244474,3.7604239280865954,6.133282824249363,3.6587100705294233,4.873702999157672,7.94880551461938,8.118793057386199,8.878163637778869,11.387569904360873
2017-07-29 15:00:00,0.8776024036233707,3.1348140370841975,5.492346187587657,3.178007593033101,4.40554058629175,7.424909481174154,7.762097885678827,8.518681785042531,10.941700939726672
2017-07-29 16:00:00,0.944482748318535,3.1696475499462053,5.443579269580823,3.164074187888332,4.427834034523471,7.39007596831209,7.714724308186419,8.503355039383223,10.872033914002543
2017-07-29 17:00:00,0.9625961750068086,3.126453993997302,5.458906015240132,3.105553886280063,4.380460457031063,7.398436011398985,7.686857497896767,8.49638833681081,10.884573978632886
2017-07-29 18:00:00,1.1061102479984584,3.346601795285437,5.587093342572473,3.2546413213296432,4.557414702370295,7.4750697396955275,7.674317433266424,8.49638833681081,11.071281607573496
2017-07-29 19:00:00,0.5139405293435857,2.613704684667937,5.085490757358912,2.7265652663409696,4.018191923265761,7.14624137827775,7.377535903681803,8.240013682146127,10.955634344871498
2017-07-29 20:00:00,0.17257210329552208,2.236109405243326,4.802642632919117,2.467403930647322,3.717230372137635,6.898226766699963,7.211728382458432,8.028225923944888,10.578039065446887
2017-07-29 21:00:00,0.001191220014220562,2.0229283065275467,4.542087956710986,2.3433966248584284,3.5709296181170203,6.719879180846306,7.114194546444708,7.975278984394549,10.463785143259315
