3.4.2	2017	250	18	3988	34	18	132.4439258	1	1.053001447	0.4217303907	0.9904658938	1.004809168	7
3.4.2	2017	263	13	3988	34	9.5	86.87697374	0.7307692308	0.9563806046	0.3830334393	0.8995831607	0.9126103309	8
3.4.2	2017	273	10	3988	34	5.5	65.25202184	0.55	0.9338204939	0.3739980441	0.8783628478	0.8910827195	9
3.4.2	2017	298	25	3988	34	15	108.9679026	0.6	0.6237750663	0.2498238754	0.5867303697	0.5952270121	10
3.5.2	2017	215	13	3987	25	18	119.2556592	1.384615385	1.527137507	0.7150722284	1.541001059	1.515711646	5
3.5.2	2017	232	17	3987	25	26.5	165.214994	1.558823529	1.617867818	0.7575561077	1.632555032	1.605763124	6
3.5.2	2017	250	18	3986	25	15	132.5981312	0.8333333333	1.226330125	0.5742211235	1.237462909	1.217154869	7
3.5.2	2017	263	13	3986	25	10.5	86.99617161	0.8076923077	1.11403616	0.5216402032	1.124149525	1.105701074	8
3.5.2	2017	273	10	3987	25	10	65.29970175	1	1.087060453	0.5090090032	1.096928928	1.078927196	9
3.5.2	2017	298	25	3987	25	11	109.0857677	0.44	0.7263912138	0.3401279724	0.7329854872	0.7209564411	10
11.1.2	2017	215	14	4032	24	32	125.9335814	2.285714286	1.527829333	0.7303929155	1.553860839	1.523938945	5
11.1.2	2017	232	17	4031	24	36.5	162.3218124	2.147058824	1.621770092	0.7753021622	1.649402182	1.617640497	6
11.1.2	2017	250	18	4031	24	27	129.1285095	1.5	1.218459107	0.5824956231	1.239219492	1.215356483	7
11.1.2	2017	263	13	4030	24	13.5	84.37381865	1.038461538	1.102365665	0.5269960818	1.121148024	1.099558656	8
11.1.2	2017	273	10	4031	24	10	63.20283669	1	1.073489735	0.5131916769	1.091780099	1.070756254	9
11.1.2	2017	297	24	4030	24	22	101.5578438	0.9166666667	0.71872633	0.3435937563	0.7309721538	0.716896201	10
11.2.2	2017	215	14	4037	35	16	125.6839657	1.142857143	1.266572527	0.4998481287	1.182359127	1.203961532	5
11.2.2	2017	232	17	4037	35	20	161.9272876	1.176470588	1.343845507	0.5303436223	1.254494287	1.277414645	6
11.2.2	2017	250	18	4036	35	15.5	128.742996	0.8611111111	1.00908867	0.398233084	0.9419951669	0.9592059797	7
11.2.2	2017	263	13	4036	35	7.5	84.01622506	0.5769230769	0.9117967415	0.3598371868	0.851172101	0.8667235223	8
11.2.2	2017	273	10	4037	35	5	62.91807009	0.5	0.8876742394	0.3503173312	0.8286534848	0.8437934776	9
11.2.2	2017	297	24	4036	35	10	100.8944128	0.4166666667	0.5931084333	0.2340680333	0.553673125	0.5637890628	10
11.3.2	2017	184	14	4044	30	21	118.5065906	1.5	1.288298316	0.5498541263	1.249801195	1.249635385	3
11.3.2	2017	201	17	4044	30	22	150.778378	1.294117647	1.349870532	0.5761335498	1.309533501	1.309359766	4
11.3.2	2017	215	14	4043	30	19	125.3844268	1.357142857	1.363068037	0.5817663313	1.322336637	1.322161203	5
11.3.2	2017	232	17	4044	30	24.5	161.4670088	1.441176471	1.44556242	0.6169754721	1.402365911	1.402179859	6
11.3.2	2017	250	18	4043	30	21.2	128.2032771	1.177777778	1.083998278	0.4626575374	1.051606082	1.051466566	7
11.3.2	2017	263	13	4043	30	9.3	83.59903254	0.7153846154	0.9787231709	0.4177254347	0.9494768205	0.9493508538	8
11.3.2	2017	273	10	4043	30	9	62.63330349	0.9	0.9532510436	0.4068537646	0.9247658551	0.9246431668	9
11.3.2	2017	297	24	4043	30	9	100.1213793	0.375	0.6349178737	0.2709870908	0.615945164	0.6158634468	10
11.4.2	2017	215	14	4051	39	15	124.9850416	1.071428571	1.194251507	0.4460871072	1.082285693	1.118836069	5
11.4.2	2017	232	17	4051	39	22.5	161.0067299	1.323529412	1.266954162	0.4732436291	1.148172186	1.186947645	6
11.4.2	2017	250	18	4050	39	14.5	127.6635582	0.8055555556	0.9487684495	0.3543921617	0.859817646	0.8888549491	7
11.4.2	2017	263	13	4050	39	10	83.18184003	0.7692307692	0.855955063	0.3197237063	0.7757058824	0.8019026079	8
11.4.2	2017	273	10	4050	39	6	62.30107579	0.6	0.8334150531	0.3113043677	0.7552790879	0.7807859705	9
11.4.2	2017	297	24	4050	39	17	99.34894387	0.7083333333	0.5537551872	0.2068434063	0.5018384431	0.5187862634	10
4.1.2	2017	184	14	4145	14	32	112.1224485	2.285714286	1.773150471	1.114784129	1.930227902	1.869419215	3
4.1.2	2017	201	17	4145	14	37	144.0958324	2.176470588	1.876651166	1.179855274	2.042897375	1.97853922	4
4.1.2	2017	215	14	4144	14	27	120.3421891	1.928571429	1.903140826	1.196509389	2.071733665	2.006467069	5
4.1.2	2017	232	17	4144	14	35	154.8915961	2.058823529	2.017251225	1.268250882	2.19595272	2.126772805	6
4.1.2	2017	248	16	4144	14	28	108.7339535	1.75	1.504617992	0.9459570881	1.637907034	1.58630744	7
4.1.2	2017	262	14	4144	14	14.8	83.16516178	1.057142857	1.315208041	0.826874579	1.431717893	1.386613952	8
4.1.2	2017	274	12	4144	14	11	70.49761568	0.9166666667	1.300691305	0.8177478712	1.415915169	1.371309067	9
4.1.2	2017	297	23	4144	14	15.5	82.6963267	0.6739130435	0.796048333	0.5004775746	0.8665675748	0.8392677744	10
4.2.2	2017	184	14	4148	16	30	111.9328206	2.142857143	1.657641532	0.9737863991	1.7858032	1.727687016	3
4.2.2	2017	199	15	4147	16	32	127.9523033	2.133333333	1.768552907	1.038941613	1.905289763	1.843285074	4
4.2.2	2017	215	16	4147	16	27	136.2036211	1.6875	1.764939726	1.036819039	1.901397226	1.839519215	5
4.2.2	2017	232	17	4147	16	28	154.6943337	1.647058824	1.886629809	1.108306237	2.03249586	1.966351448	6
4.2.2	2017	248	16	4146	16	17	108.6010673	1.0625	1.407263158	0.8267008862	1.516066654	1.466728626	7
4.2.2	2017	297	49	4146	16	26	235.9157077	0.5306122449	0.9982101584	0.5864014971	1.075387447	1.040390638	10
4.3.2	2017	170	14	4159	25	20	81.25909757	1.428571429	0.9662432165	0.4524371163	0.9750148975	0.9590138997	2
4.3.2	2017	184	14	4155	25	27	111.4903553	1.928571429	1.325719861	0.6207597224	1.337754917	1.315800982	3
4.3.3	2017	215	14	4158	35	18	119.643265	1.285714286	1.205697733	0.475824118	1.125531849	1.146095986	5
4.3.3	2017	232	17	4158	35	21.5	153.9710384	1.264705882	1.277816057	0.5042853459	1.192855083	1.214649256	6
4.3.3	2017	248	16	4157	35	15.5	107.8707745	0.96875	0.9511785284	0.3753790622	0.8879354241	0.9041585333	7
4.3.3	2017	262	14	4157	35	14	82.31052647	1	0.8294793289	0.3273509266	0.7743279077	0.7884753398	8
4.3.3	2017	297	35	4157	35	14	151.1747906	0.4	0.6093819065	0.2404902989	0.5688645879	0.5792580828	10
4.4.2	2017	215	14	4135	26	19	120.7914974	1.357142857	1.408880006	0.6466797422	1.410502925	1.391596254	5
4.4.2	2017	232	17	4135	26	26.7	155.4833833	1.570588235	1.493484561	0.6855134623	1.495204937	1.475162904	6
4.4.2	2017	248	16	4134	26	18.3	109.3983845	1.14375	1.116494538	0.5124740195	1.117780651	1.10279769	7
4.4.2	2017	262	14	4134	26	12	83.82257356	0.8571428571	0.9776842781	0.4487597341	0.9788104933	0.9656903168	8
4.4.2	2017	274	12	4134	26	9	71.07440298	0.75	0.967158495	0.4439283712	0.9682725854	0.9552936612	9
4.4.2	2017	297	23	4134	26	12	83.68296197	0.5217391304	0.5941209738	0.2727031376	0.5948053543	0.5868324614	10
4.5.1	2017	170	26	4124	56	9	110.6714994	0.3461538462	0.4766027543	0.1481251128	0.3856836237	0.4247522546	2
4.5.1	2017	184	14	4123	56	8	113.5130537	0.5714285714	0.9078453497	0.2821525759	0.7346602199	0.8090791663	3
4.5.2	2017	215	14	4122	55	12	121.4404983	0.8571428571	0.9798915843	0.307345664	0.7978212855	0.8754944442	5
4.5.2	2017	232	17	4122	55	14.5	156.3381869	0.8529411765	1.038863942	0.3258425045	0.8458361913	0.9281839175	6
4.5.2	2017	248	16	4121	55	8.5	110.2621448	0.53125	0.7784827188	0.2441732248	0.6338355114	0.6955435746	7
