Year,Julian Day,obs_period(days),elevation(m),debris_thickness(cm),melt(cm),PDD
2017,261,13,4363,4,8,61.53289419
2017,279,18,4364,4,16.5,88.50585976
2017,183,15,4563,6,30,81.43810921
2017,198,15,4564,6,36,101.8168618
2017,217,19,4565,6,30,128.5277244
2017,230,13,4564,6,20,97.10086219
2017,247,17,4563,6,22,82.26828139
2017,261,14,4563,6,13,48.28476975
2017,279,18,4563,6,17,66.89600596
2017,217,19,4620,3.5,64,123.3887815
2017,230,13,4618,3.5,46,93.37690406
2017,247,17,4617,3.5,41,76.96852736
2017,261,14,4616,3.5,24,43.56229793
2017,279,18,4616,3.5,22,61.58014722
2017,296,19,4616,4,9,32.20025829
2017,183,15,4560,6,64,81.69206141
2017,198,15,4560,6,64,102.1084872
2017,230,13,4558,4,63,97.51463532
2017,247,17,4559,4,57,82.66085577
2017,261,14,4558,4,61,48.74214316
2017,296,19,4557,1.5,31,35.49642249
2017,230,13,4562,4,60.5,97.23878657
2017,247,17,4562,4,45.5,82.36642499
2017,261,14,4561,4,31,48.46710346
2017,279,18,4561,4,32.5,67.103219
2017,296,19,4561,3,45,35.26260402
2017,183,15,4547,4,56,82.79376296
2017,198,15,4547,4,59,103.0562699
2017,230,13,4546,2,48,98.34218157
2017,247,17,4545,2,35,84.03486607
2017,261,14,4545,2,27,49.94638944
2017,279,18,4545,2,25,68.76915437
2017,296,19,4545,4,18.5,36.20417053
2017,296,18,4609,5,19.5,29.0112766
2017,168,23,4338,42,8,86.16210356
2017,216,17,4336,53,22,135.2102875
2017,231,15,4336,53,17,128.5654891
2017,216,17,4326,28.5,23.5,136.0491139
2017,231,15,4325,28.5,15,129.4346662
2017,246,15,4326,28.5,9,92.17846251
2017,262,16,4325,28.5,4,83.64688371
2017,274,12,4325,28.5,4,61.43070207
2017,216,17,4339,41,17.5,134.9586396
2017,231,15,4339,41,15.5,128.3284408
2017,246,15,4339,41,12.5,91.05495593
2017,262,16,4339,41,9.5,82.1061958
2017,274,12,4339,41,6,60.36042495
2017,216,17,4364,23,24,132.8615736
2017,231,15,4364,23,18,126.3530383
2017,246,15,4364,23,16,88.89436634
2017,262,16,4364,23,11,79.35496741
2017,274,12,4364,23,9,58.44921581
2017,216,17,4367,28,21.5,132.6099257
2017,231,15,4367,28,25.5,126.11599
2017,246,15,4367,28,11,88.63509559
2017,262,16,4367,28,11,79.02482
2017,274,12,4367,28,12,58.21987071
2017,296,17,4424,12,6,34.93467788
