4.2.2	2017	215	16	4147	16	27	141.4413131	5	1.918088389	1.875010024	1.848235436	1.6875
4.2.2	2017	232	17	4147	16	28	161.3795018	6	2.059736991	2.013477338	1.984725479	1.647058824
4.2.2	2017	248	16	4146	16	17	113.8034502	7	1.543290794	1.508630012	1.487087223	1.0625
4.2.2	2017	297	49	4146	16	26	247.9430357	10	1.097913572	1.073255521	1.05792975	0.5306122449
4.3.2	2017	170	14	4159	25	20	85.17366759	2	0.9773089773	0.9745549382	0.9639876316	1.428571429
4.3.2	2017	184	14	4155	25	27	110.6364713	3	1.269477054	1.265899691	1.252173271	1.928571429
4.3.3	2017	215	14	4158	35	18	123.9425326	5	1.103737471	1.130646177	1.132693372	1.285714286
4.3.3	2017	232	17	4158	35	21.5	160.394015	6	1.176285366	1.204962762	1.207144518	1.264705882
4.3.3	2017	248	16	4157	35	15.5	112.764045	7	0.8786666035	0.9000881659	0.9017179031	0.96875
4.3.3	2017	262	14	4157	35	14	87.99653981	8	0.7836299316	0.8027345355	0.8041880002	1
4.3.3	2017	297	35	4157	35	14	156.8189716	10	0.5586039644	0.5722225196	0.5732586096	0.4
4.4.2	2017	215	14	4135	26	19	125.4855101	5	1.399485722	1.399206903	1.385478482	1.357142857
4.4.2	2017	232	17	4135	26	26.7	162.4545782	6	1.492058877	1.491761614	1.477125086	1.570588235
4.4.2	2017	248	16	4134	26	18.3	114.9373467	7	1.121615783	1.121392324	1.110389701	1.14375
4.4.2	2017	262	14	4134	26	12	90.23251828	8	1.006324323	1.006123833	0.9962521757	0.8571428571
4.4.2	2017	274	12	4134	26	9	76.02794978	9	0.9892247196	0.9890276366	0.9793237198	0.75
4.4.2	2017	297	23	4134	26	12	85.11219995	10	0.5777858574	0.5776707453	0.5720028867	0.5217391304
4.5.1	2017	170	26	4124	56	9	131.1925561	2	0.4278949544	0.462136082	0.4773807435	0.3461538462
4.5.1	2017	184	14	4123	56	8	113.1554235	3	0.6854071939	0.7402550366	0.7646741156	0.5714285714
4.5.2	2017	215	14	4122	55	12	126.3576278	5	0.7772121773	0.8374612866	0.8638634447	0.8571428571
4.5.2	2017	232	17	4122	55	14.5	163.6192443	6	0.8288036009	0.8930520522	0.9212067882	0.8529411765
4.5.2	2017	248	16	4121	55	8.5	116.1657347	7	0.6252075717	0.6736733581	0.6949118688	0.53125
4.5.2	2017	262	14	4121	55	6	91.4963322	8	0.5627840978	0.6064108469	0.6255288113	0.4285714286
